season,episode_number,Episode Name,Star Name,Popularity
1,1,A Hard Day's Night,Sendhil Ramamurthy,5.369
1,1,A Hard Day's Night,Skyler Shaye,2.141
1,1,A Hard Day's Night,Laura Carson,0.621
1,1,A Hard Day's Night,David Vegh,2.139
1,1,A Hard Day's Night,Randall Arney,1.847
1,1,A Hard Day's Night,Robbie Troy,0.6
1,1,A Hard Day's Night,Lynne Marie Stewart,2.999
1,1,A Hard Day's Night,Sean Palmer,1.62
1,1,A Hard Day's Night,Richard Gilbert-Hill,1.219
1,1,A Hard Day's Night,Grinnell Morris,0.6
1,1,A Hard Day's Night,Brad Pennington,1.4
1,1,A Hard Day's Night,Noelle McCutchen,0.6
1,1,A Hard Day's Night,Josh Bywater,1.236
1,1,A Hard Day's Night,Kathleen M. Darcy,2.188
1,1,A Hard Day's Night,Maurice J. Irvin,1.028
1,1,A Hard Day's Night,Bokhee An,1.204
1,1,A Hard Day's Night,Kate Burton,11.654
1,1,A Hard Day's Night,Billy Wood,0.6
1,1,A Hard Day's Night,Joel Schmidt,0.6
1,1,A Hard Day's Night,Martin Ighani,0.6
1,2,The First Cut is the Deepest,Alice Lo,1.96
1,2,The First Cut is the Deepest,Gary Kraus,1.551
1,2,The First Cut is the Deepest,Elise Robertson,2.803
1,2,The First Cut is the Deepest,Stacey Hinnen,0.87
1,2,The First Cut is the Deepest,Kerry Carney,1.155
1,2,The First Cut is the Deepest,Kerri Higuchi,1.405
1,2,The First Cut is the Deepest,Dennis Gubbins,1.676
1,2,The First Cut is the Deepest,Scarlett Lam,0.689
1,2,The First Cut is the Deepest,Kylie Milne,0.6
1,2,The First Cut is the Deepest,Sonia Jackson,2.99
1,2,The First Cut is the Deepest,Wally Rudolph,1.916
1,2,The First Cut is the Deepest,Scott Michael Morgan,2.983
1,2,The First Cut is the Deepest,Cindy Drummond,0.6
1,2,The First Cut is the Deepest,Stephen Blackehart,3.896
1,2,The First Cut is the Deepest,Patricia Harris-Smith,0.989
1,2,The First Cut is the Deepest,Debra D. Holt,0.763
1,2,The First Cut is the Deepest,Nate Reese,0.742
1,2,The First Cut is the Deepest,Joan McCrea,0.6
1,2,The First Cut is the Deepest,Linda Nile,1.473
1,2,The First Cut is the Deepest,Kristy Munden,0.6
1,2,The First Cut is the Deepest,Robin Pearson Rose,2.949
1,2,The First Cut is the Deepest,Anjul Nigam,2.498
1,2,The First Cut is the Deepest,Kate Burton,11.654
1,3,"Winning a Battle, Losing the War",Keith David,27.267
1,3,"Winning a Battle, Losing the War",Callum Blue,7.606
1,3,"Winning a Battle, Losing the War",Claire Lautier,1.626
1,3,"Winning a Battle, Losing the War",Zina Zaflow,0.84
1,3,"Winning a Battle, Losing the War",Rudy McCollum,0.6
1,3,"Winning a Battle, Losing the War",Kristy Munden,0.6
1,3,"Winning a Battle, Losing the War",Steven W. Bailey,1.681
1,3,"Winning a Battle, Losing the War",Kathleen M. Darcy,2.188
1,4,No Man's Land,Taylor Nichols,4.515
1,4,No Man's Land,Valerie Cruz,5.084
1,4,No Man's Land,Anna Maria Horsford,5.118
1,4,No Man's Land,Tom Choi,5.494
1,4,No Man's Land,F.J. Rio,1.902
1,4,No Man's Land,Chris Hendrie,1.217
1,4,No Man's Land,Jack Merrill,0.652
1,4,No Man's Land,Maurice J. Irvin,1.028
1,4,No Man's Land,Kate Burton,11.654
1,5,Shake Your Groove Thing,Kathryn Joosten,4.267
1,5,Shake Your Groove Thing,Jonathan Scarfe,6.553
