season,episode_number,episode_name,air_date,overview,runtime,guest_stars,crew,cast,image
0,1,Straight To The Heart,2006-01-08,Recap of series to date.,43,,,,/t8fRHKy5jGUq7U1EE8XUpN7DJyQ.jpg
0,2,Under Pressure,,"This is a recap episode, otherwise known as a clip show. If you want to get caught up on everything from the interns first day to the mischief of the last episode, then this is the episode to watch. Prepare for May sweeps by getting caught up with this episode.",43,,,,/bTmIUauHG6gPRHqqPLpdIa05Jqv.jpg
0,3,Complications of the Heart,,"Another recap episode narrated by Joe the Bartender that covers all that has happened so far. In this case the episode will show the main plotlines from seasons one and two that are relevant to the season three premiere and will include an extended version of the music video for The Fray’s single, “How to Save a Life.” Basically it will be a one-hour previously.",43,,,,/kxRVPAIVyPsfN8s7nPCqZdCOco9.jpg
0,4,Every Moment Counts,,Quick summary of all the important details from all Season 3 episodes. (Recap Episode),43,,"Chris Van Dusen (Writer), Tamra Davis (Director), Marti Noxon (Consulting Producer)",,/ocwrUUusLWE8WejNIxSXSye00WC.jpg
0,5,Come Rain or Shine: From Grey's Anatomy to Private Practice,,"""Come Rain or Shine: From Grey's Anatomy to Private Practice"" goes into the life of Dr. Addison Montgomery as she transitions from Seattle Grace to Oceanside in the new spin-off Private Practice. The episode also includes the premiere of the Grey's Anatomy music video featuring ""Breath In Breath Out,"" a song by Mat Kearney. The video features clips from the previous three seasons and the episode will feature a glimpse at the new season of Grey's Anatomy.",43,,Marti Noxon (Consulting Producer),,/6EUseSD5cZfKIzAo6OhUcFhM1H8.jpg
0,6,"B-Team: Episode 1: Day One, Baby",2018-01-11,"Under the watchful (and stern) eye of Chief Bailey, the interns set out on their first shift at Grey Sloan.",3,,"Sarah Drew (Director), Barbara Kaye Friend (Writer)",,
0,7,B-Team: Episode 2: Levi & Sam,2018-01-11,Levi and Sam compete for a procedure on Alex's young patient.,3,,"Sarah Drew (Director), Barbara Kaye Friend (Writer)",,
0,8,B-Team: Episode 3: Vik,2018-01-11,"Vik tries to charm a patient, hopeful that it will land him in the OR with Maggie.",3,,"Sarah Drew (Director), Barbara Kaye Friend (Writer)",,
0,9,B-Team: Episode 4: Dahlia,2018-01-11,Dahlia blows her chance at being Richard's favorite intern.,3,,"Sarah Drew (Director), Barbara Kaye Friend (Writer)",,
0,10,B-Team: Episode 5: Casey & Taryn,2018-01-11,Casey and Taryn pester Owen for chances to scrub in.,3,,"Sarah Drew (Director), Barbara Kaye Friend (Writer)",,
0,11,B-Team: Episode 6: Go Home,2018-01-11,"Exhausted and traumatized, the interns take stock of their first day as surgeons.",3,,"Sarah Drew (Director), Barbara Kaye Friend (Writer)",,
1,1,A Hard Day's Night,2005-03-27,"Meet Meredith Grey. Daughter of famous surgeon Ellis Grey and currently recovering from a one-night stand. She shoos away her evening's companion, saying she'll be late for her first day of work. She is a first year intern at Seattle Grace Hospital and is working alongside some colorful characters. Cristina Yang is a highly competitive Stanford graduate who befriends Meredith. George O'Malley is a quirky warm hearted man who learns a lesson or two on his first day. Izzie Stevens is a former model who doesn't get any special treatment on her first day. And Alex Karev is an arrogant jerk who misdiagnoses a patient on his first shift. Overseeing them is Miranda Bailey, (not-so-) affectionately dubbed 'The Nazi'. Meredith also gets a surprise when she realizes that her friend from the night before is a co-worker, and even worse, her boss.",43,"Sendhil Ramamurthy, Skyler Shaye, Laura Carson, David Vegh, Randall Arney, Robbie Troy, Lynne Marie Stewart, Sean Palmer, Richard Gilbert-Hill, Grinnell Morris, Brad Pennington, Noelle McCutchen, Josh Bywater, Kathleen M. Darcy, Maurice J. Irvin, Bokhee An, Kate Burton, Billy Wood, Joel Schmidt, Martin Ighani","Peter Horton (Director), Shonda Rhimes (Writer)",,/oO1c7BpValKw4PvyREWmwQxh56I.jpg
