,id,Title,Episode,Season,character_names,Total Spoken Words,number of scene changes,Sarcasm Index,Emotional Archetype,vote_average,holiday_episode,director_popularity,writer_popularity,Joey_Rachel_Monica_Chandler_itemset,Rachel_Ross_Monica_Chandler_itemset,Joey_Phoebe_Monica_Chandler_itemset,Joey_Ross_Monica_Chandler_itemset,Rachel_Phoebe_Monica_Chandler_itemset,Joey_Rachel_Phoebe_Chandler_itemset,Joey_Rachel_Ross_Chandler_itemset,Joey_Ross_Phoebe_Chandler_itemset,Ross_Phoebe_Monica_Chandler_itemset,Joey_Rachel_Phoebe_Monica_itemset,sentiment,Ross_spoken_words,Rachel_spoken_words,Chandler_spoken_words,Monica_spoken_words,Phoebe_spoken_words,Joey_spoken_words,Central Perk_occurrences,Monica's Apartment_occurrences,Ross's Apartment_occurrences,Chandler's Apartment_occurrences,Ralph Lauren_occurrences,Bloomingdales_occurrences,Phoebe's Apartment_occurrences
0,85987, The Pilot-The Uncut Version,1,1,"['Paul', 'Frannie']",2290,13,0.6666666666666666,Uncharted,7.081,0,3.7445,4.7685,1,1,0,1,0,0,0,0,0,0,0.0588348861180994,357,394,315,433,166,290,2,3,3,0,0,0,0
1,86012, The One With The Sonogram At the End,2,1,"['Barry', 'Geller', 'Marsha', 'Susan', 'Carol', 'Oberman', 'Robbie', 'Bernice']",2520,11,0.7142857142857143,Icarus,7.333,0,3.4485,4.7685,0,0,1,0,0,0,0,0,0,0,0.0455028663968881,686,437,252,253,115,73,2,1,0,0,0,0,0
2,85981, The One With The Thumb,3,1,"['Lizzie', 'Paula', 'Alan']",2336,14,0.625,Man in a Hole,8.13,0,3.4485,1.788,0,1,0,0,0,0,0,0,0,0,0.0295844960223056,252,206,449,480,427,185,4,0,0,0,0,0,0
3,85983, The One With George Stephanopoulos,4,1,"['Receptionist', 'Joanne', 'Leslie', 'Guy']",2721,15,0.3333333333333333,Rags to Riches,7.84,0,3.4485,1.388,0,1,0,0,1,0,1,0,0,0,0.043530952508426,440,533,391,418,302,163,2,0,0,0,0,0,0
4,86034, The One With The East German Laundry Detergant,5,1,"['Angela', 'Bob', 'Janice']",2765,16,0.625,Man in a Hole,8.041,0,2.195,1.0455,0,0,0,0,0,0,0,0,0,0,0.0652723118632209,560,371,349,323,235,411,6,1,1,0,0,0,0
5,86017, The One With The Butt,6,1,['Aurora'],2434,8,0.7142857142857143,Uncharted,7.7,0,1.527,2.447,1,0,0,0,0,0,0,0,0,0,0.0392286361438287,209,146,820,381,158,344,1,0,0,0,0,0,0
6,86027, The One With The Blackout,7,1,"['Jill', 'Paolo', 'Heckles']",2493,21,0.0,Uncharted,8.469,1,3.4485,2.304,0,0,0,0,0,0,0,0,0,0,-0.0213208937690026,515,381,442,143,327,268,1,2,0,0,0,0,0
7,85990, The One Where Nana Dies Twice,8,1,"['Shelley', 'Nurse', 'Geller', 'Andrea', 'Lowell']",2096,11,0.625,Uncharted,7.837,0,3.4485,4.7685,0,1,0,0,0,0,0,0,1,0,0.0703208626733305,557,153,334,233,177,72,2,0,0,0,0,0,0
8,85979, The One Where Underdog Gets Away,9,1,"['Terry', 'Susan', 'Carol']",2494,13,0.25,Uncharted,8.043,0,3.4485,1.0455,0,1,0,1,0,0,1,0,0,0,0.0520039463234194,420,456,380,481,224,260,3,0,0,0,0,0,0
9,86043, The One With The Monkey,10,1,"['David', 'Max', 'Bobby', 'Sandy', 'Sung', 'Janice']",2727,8,0.4285714285714285,Cinderella,8.0,0,2.4765,2.15,0,0,1,0,0,0,0,1,1,0,0.0880069591565128,428,266,386,162,594,164,2,0,0,0,0,0,0
